Region,FBPN,Type,Month,Year,Planned_Orders,Notes
LAS,15-008613,CDN,Jul,2024,32,
LAS,15-008613,CDN,Sep,2024,13,
LAS,15-008613,CDN,Dec,2024,2,
LAS,15-008618,CDN,Jul,2024,3,
LAS,15-008618,CDN,Sep,2024,13,
LAS,15-008618,CDN,Dec,2024,6,
LAS,15-008619,CDN,Apr,2024,-6,PO 70000776936 needs to be swapped to FBPN 15-008650 (Qty 6)
LAS,15-008650,CDN,Apr,2024,6,
LAS,15-008622,GPU,Mar,2024,-12,PO 70000726889 needs to be swapped to FBPN 15-008646 (Qty 12)
LAS,15-008623,GPU,Apr,2024,-6,PO 70000777508 needs to be swapped to FBPN 15-008645 (Qty 6)
LAS,15-008643,GPU,Mar,2024,-3,PO 70000729833 needs to be swapped to FBPN 15-008657 (Qty 3)
LAS,15-008645,GPU,Apr,2024,6,
LAS,15-008645,GPU,Jun,2024,55,
LAS,15-008646,GPU,Mar,2024,12,
LAS,15-008646,GPU,Jun,2024,29,
LAS,15-008646,GPU,Sep,2024,27,
LAS,15-008646,GPU,Dec,2024,58,
LAS,15-008657,GPU,Mar,2024,3,
LAS,15-008657,GPU,Jun,2024,26,
LAS,15-008658,GPU,Jun,2024,11,
LAS,15-008658,GPU,Sep,2024,8,
LAS,15-008658,GPU,Dec,2024,26,
VNL,15-008614,CDN,Sep,2024,9,
VNL,15-008614,CDN,Dec,2024,2,
VNL,15-008619,CDN,Sep,2024,12,
VNL,15-008619,CDN,Dec,2024,6,
VNL,15-008622,GPU,Feb,2024,32,
VNL,15-008623,GPU,Feb,2024,-32,Need to swap Qty 32 to FBPN 15-008622
VNL,15-008643,GPU,Feb,2024,13,
VNL,15-008644,GPU,Feb,2024,-13,Need to swap Qty 13 to FBPN 15-008643
EBA,15-008614,CDN,Jun,2024,7,
EBA,15-008616,CDN,Feb,2024,11,
EBA,15-008616,CDN,May,2024,6,
EBA,15-008616,CDN,Sep,2024,18,
EBA,15-008645,GPU,Feb,2024,84,
EBA,15-008646,GPU,Feb,2024,-84,Need to swap Qty 84 to FBPN 15-008645
EBA,15-008657,GPU,Feb,2024,36,
EBA,15-008658,GPU,Feb,2024,-36,Need to swap Qty 36 to FBPN 15-008657
QRO,15-008619,CDN,Apr,2024,12,
SCL,15-008619,CDN,Apr,2024,3,
SGP,15-008619,CDN,Jun,2024,48,
TKA,15-008619,CDN,Mar,2024,6,
TKA,15-008619,CDN,Jun,2024,2,
TWE,15-008619,CDN,Jun,2024,9,
AKL,15-008614,CDN,Sep,2024,6,Still finalizing if these will be delivered to LAS or SGP
SYD,15-008619,CDN,Jun,2024,2,Still finalizing if these will be delivered to LAS or SGP
